property_number,description,cost
2024-04-03-IT020.DT1.A-CPO,"Desktop, System Unit, Neutron Fit
SN: N/A", 
2024-04-03-IT020.DT1.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02212300349",
2024-04-03-IT020.DT2.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300112",
2024-04-03-IT020.DT2.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02210200438",
2024-04-03-IT020.DT3.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300129",
2024-04-03-IT020.DT3.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02210201091",
2024-04-03-IT020.DT4.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300100",
2024-04-03-IT020.DT4.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02212300883",
2024-04-03-IT020.DT5.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300143",
2024-04-03-IT020.DT5.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02212300026",
2024-04-03-IT020.DT6.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300126",
2024-04-03-IT020.DT6.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02212300016",
2024-04-03-IT020.DT7.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300145",
2024-04-03-IT020.DT7.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02212300891",
2024-04-03-IT020.DT8.A-CPO,"Desktop, System Unit, Neutron Fit
SN: N/A",
2024-04-03-IT020.DT8.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02212300657",
2024-04-03-IT020.DT9.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300140",
2024-04-03-IT020.DT9.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02212300874",
2024-04-03-IT020.DT10.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300107",
2024-04-03-IT020.DT10.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02212300991",
2024-04-03-IT020.DT11.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300127",
2024-04-03-IT020.DT11.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02212300959",
2024-04-03-IT020.DT12.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300144",
2024-04-03-IT020.DT12.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02210200090",
2024-04-03-IT020.DT13.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300098",
2024-04-03-IT020.DT13.B-CPO,"Desktop, Monitor, Gamdias (Atlas VH22F)
SN: VH22F02212300350",
2024-04-03-IT020.DT14.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300141",
2024-04-03-IT020.DT14.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02212300031",
2024-04-03-IT020.DT15.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300099",
2024-04-03-IT020.DT15.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02212300351",
2024-04-03-IT020.DT16.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300065",
2024-04-03-IT020.DT16.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02210201405",
2024-04-03-IT020.DT17.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300133",
2024-04-03-IT020.DT17.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02210201027",
2024-04-03-IT020.DT18.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300066",
2024-04-03-IT020.DT18.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02212300885",
2024-04-03-IT020.DT19.A-CPO,"Desktop, System Unit, Neutron Fit
SN: N/A",
2024-04-03-IT020.DT19.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02210201102",
2024-04-03-IT020.DT20.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300103",
2024-04-03-IT020.DT20.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02210200070",
2024-04-03-IT020.DT21.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300115",
2024-04-03-IT020.DT21.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02210200043",
2024-04-03-IT020.DT22.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300093",
2024-04-03-IT020.DT22.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02210200415",
2024-04-03-IT020.DT23.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300101",
2024-04-03-IT020.DT23.B-CPO,"Desktop, Monitor, Gamdias (Atlas VH22F)
SN: VH22F02212300028",
2024-04-03-IT020.DT24.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300110",
2024-04-03-IT020.DT24.B-CPO,"Desktop, Monitor, Gamdias (Atlas VH22F)
SN: VH22F02212300951",
2024-04-03-IT020.DT25.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300128",
2024-04-03-IT020.DT25.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02212300654",
2024-04-03-IT020.DT26.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300067",
2024-04-03-IT020.DT26.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02212300045",
2024-04-03-IT020.DT27.B-CPO,"Desktop, Monitor, Gamdias (Atlas VH22F)
SN: VH22F02212300145",
2024-04-03-IT020.DT28.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300142",
2024-04-03-IT020.DT28.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02210200049",
2024-04-03-IT020.DT29.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300105",
2024-04-03-IT020.DT29.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02212300837",
2024-04-03-IT020.DT30.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300111",
2024-04-03-IT020.DT30.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02212300928",
0000-04-03-IT0025.L1-CPO,"Laptop, 
Brand: ASUS
Model: X550ZE
SN: GAN0CV17C54843E",
0000-04-03-IT0025.L2-CPO,"Laptop, 
Brand: ASUS
Model: X550ZE
SN: GAN0CV17C231436",
0000-04-03-IT0025.L3-CPO,"Laptop, 
Brand: ASUS
Model: X550ZE
SN: GAN0CV12S63842B",
0000-04-03-IT0025.L4-CPO,"Laptop, 
Brand: ASUS
Model: X550ZE
SN: GAN0CV12S62742D",
0000-04-03-IT0027.L5-CPO,"Laptop, CHUWI
Model: MijaBook
SN: 256G2101010221",
0000-04-03-IT0025.L6-CPO,"Laptop, Asus
Model: X550ZE
SN: GAN0CV12S321428",
0000-04-03-IT0025.L7-CPO,"Laptop, Asus
Model: X550ZE
SN: GAN0CV20D176435",
0000-04-03-IT0027.L8-CPO,"Laptop, CHUWI
Model: MijaBook
SN: 256G2101010198",
0000-04-03-IT0108.L9-CPO,"Laptop, LENOVO ideapad S130-11IGM
Model: 81J1
SN: Y1506N1DR",
0000-04-03-IT0025.L10-CPO,"Laptop, Asus
Model: X550ZE
SN: GAN0CV20D098434",
0000-04-03-IT0025.L11-CPO,"Laptop, Asus
Model: X550ZE
SN: GAN0CV17C244433",
0000-04-03-IT0025.L12-CPO,"Laptop, Asus
Model: X550ZE
SN: GAN0CV16E879429",
0000-04-03-IT0027.L13-CPO,"Laptop, CHUWI
Model: MijaBook
SN: 256G2101010218",
,"HP Laptop, 15s-fq5xxx
SN: 5CD439868K",
,"Acer Laptop, Aspire 5
SN: NXK3SSP001234008F3400",
,"Acer Laptop, Aspire lite 15
SN: NXKRSSP001350006E40X15",
2025-05-03-IT002.L1-TOD,"Hp Victus 16-R1167TX 
Gaming Laptop Intel Core i7-14650HX
SN: CND4380XK0",
,"Laptop, Chuwi
SN: 00356-02428-19924-AAOEM",
,"Laptop, Chuwi
SN:  00356-02428-20003-AAOEM",
,"Laptop, Chuwi
SN:  00356-02428-19918-AAOEM",
,"Laptop, Lenovo
SN:  00330-80000-00000-AA479",
,"Laptop, ASUS
SN:  00342-50649-76126 AAOEM",
,"Laptop, ASUS
SN:  00342-50649-78720 AAOEM",
,"Laptop, ASUS
SN:  00342-50649-84635 AAOEM",
,"Laptop, ASUS
SN:  00342-50649-90389 AAOEM",
,"Laptop, ASUS
SN:  00342-50649-85462 AAOEM",
,"Laptop, ASUS
SN:  00342-50649-84884 AAOEM",
,"Laptop, ASUS
SN: 00342-50649-70964 AAOEM",
,"Laptop, ASUS
SN:  00342-50649-87233 AAOEM",
,"Laptop, ASUS
SN:  00342-50649-15774 AAOEM",
,"LAPTOP, ASUS X550ZE
SN: HINOCV01E85801A",
,"High-end Laptop
ACER TMP216-51-70Z5 Intel Core i7-1355I ESHELL  
SN: NXB17SP00533820BE77600",
,"Laptop Acer Aspire Lite AL-15-51M-55R1
SN: NXKRSSP001350006E40X15",
2024-04-03-IT0039.P5-CPO,"Printer, EPSON WF-C5790
Model: Work Force - C5790
SN: X3BC020778",
2024-04-03-IT0091.P1-CPO,"Printer, Brother MFC-J3540DW
SN: E81773-A3H274235",
0000-04-03-IT0028.P2-CPO,"Printer, EPSON L385
SN: X2QL003754",
0000-04-03-IT0075.P3-CPO,"Printer, Canon 
SN: AEWY01997",
0000-04-03-IT0104.P4-CPO,"Printer, EPSON
Model: L120
SN: TP3K871912",
,"Printer, DCP-T820DW
SN: E80729J1H395081",
,"Printer, EPSON L385
SN: X2QL003754",
,"Printer, PIXMA iP110
SN: AEWY01997",
,"Printer, EPSON L220
SN: VGWK045567",
2024-04-03-IT020.M1-CPO,"Desktop, Monitor, Gamdias (Atlas QHD27FIC)
SN: NCEU82103B15630591",
0000-04-03-IT020.DT1.C-CPO,"Desktop, UPS, AWP (AID1000-1000VA)
SN: E2305009015",
0000-04-03-IT020.DT1.D-CPO,"Keyboard, A4TECH
Model: KRS-85
SN: 23SAN00",
0000-04-03-IT020.DT1.E-CPO,"Mouse, A4TECH
Model: OP-720
SN: 23SAN01",
0000-04-03-IT0058.WM1-CPO,"Ubiquiti Wifi-6 Access Point (U6-Mesh)
SN: 28704EE88670hX5MSm",
0000-04-03-IT0058.WM2-CPO,"Ubiquiti Wifi-6 Access Point (U6-Mesh)
SN: 28704EE85B8CWv5ACy",
0000-04-03-IT0058.WM3-CPO,"Ubiquiti Wifi-6 Access Point (U6-Mesh)
SN: 28704EE87F10C1gDZf",
0000-04-03-IT0087.R1-CPO,"Starlink Router, UTR-211
SN: WAWC02455457",
0000-04-03-IT0088.R2-CPO,"Ruijie Reyee Router
Model: RG-EG210G-P
SN: CAR709Q003221",
0000-04-03-IT0010.AP1-CPO,"Ruijie Reyee Wireless Access Point
Model: RG-RAP6260(G)
SN: G1RP94A015755",
0000-04-03-IT0032.R3-CPO,"Wireless LTE Router, TP Link 
Model; TL-MR6400
SN:219A376001661",
0000-04-03-IT0087.R4-CPO,"Starlink Router, UTR-211
SN: WAWC00860548",
0000-04-03-IT0085.RB1-CN,"MikroTik RouterBOARD
Model: hEX S
SN: HJ30A3G1C4G/503/r2",
0000-04-03-IT0087.R5-CPO,"Starlink Router, UTR-211
SN: WAWC01451190",
