property_number,description,cost,date
2024-04-03-IT020.DT1.A-CPO,"Desktop, System Unit, Neutron Fit
SN: N/A", ,
2024-04-03-IT020.DT1.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02212300349",,
2024-04-03-IT020.DT2.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300112",,
2024-04-03-IT020.DT2.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02210200438",,
2024-04-03-IT020.DT3.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300129",,
2024-04-03-IT020.DT3.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02210201091",,
2024-04-03-IT020.DT4.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300100",,
2024-04-03-IT020.DT4.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02212300883",,
2024-04-03-IT020.DT5.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300143",,
2024-04-03-IT020.DT5.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02212300026",,
2024-04-03-IT020.DT6.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300126",,
2024-04-03-IT020.DT6.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02212300016",,
2024-04-03-IT020.DT7.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300145",,
2024-04-03-IT020.DT7.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02212300891",,
2024-04-03-IT020.DT8.A-CPO,"Desktop, System Unit, Neutron Fit
SN: N/A",,
2024-04-03-IT020.DT8.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02212300657",,
2024-04-03-IT020.DT9.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300140",,
2024-04-03-IT020.DT9.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02212300874",,
2024-04-03-IT020.DT10.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300107",,
2024-04-03-IT020.DT10.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02212300991",,
2024-04-03-IT020.DT11.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300127",,
2024-04-03-IT020.DT11.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02212300959",,
2024-04-03-IT020.DT12.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300144",,
2024-04-03-IT020.DT12.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02210200090",,
2024-04-03-IT020.DT13.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300098",,
2024-04-03-IT020.DT13.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02212300350",,
2024-04-03-IT020.DT14.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300141",,
2024-04-03-IT020.DT14.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02212300031",,
2024-04-03-IT020.DT15.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300099",,
2024-04-03-IT020.DT15.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02212300351",,
2024-04-03-IT020.DT16.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300065",,
2024-04-03-IT020.DT16.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02210201405",,
2024-04-03-IT020.DT17.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300133",,
2024-04-03-IT020.DT17.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02210201027",,
2024-04-03-IT020.DT18.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300066",,
2024-04-03-IT020.DT18.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02212300885",,
2024-04-03-IT020.DT19.A-CPO,"Desktop, System Unit, Neutron Fit
SN: N/A",,
2024-04-03-IT020.DT19.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02210201102",,
2024-04-03-IT020.DT20.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300103",,
2024-04-03-IT020.DT20.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02210200070",,
2024-04-03-IT020.DT21.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300115",,
2024-04-03-IT020.DT21.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02210200043",,
2024-04-03-IT020.DT22.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300093",,
2024-04-03-IT020.DT22.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02210200415",,
2024-04-03-IT020.DT23.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300101",,
2024-04-03-IT020.DT23.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02212300028",,
2024-04-03-IT020.DT24.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300110",,
2024-04-03-IT020.DT24.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02212300951",,
2024-04-03-IT020.DT25.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300128",,
2024-04-03-IT020.DT25.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02212300654",,
2024-04-03-IT020.DT26.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300067",,
2024-04-03-IT020.DT26.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02212300045",,
2024-04-03-IT020.DT27.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02212300145",,
2024-04-03-IT020.DT28.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300142",,
2024-04-03-IT020.DT28.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02210200049",,
2024-04-03-IT020.DT29.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300105",,
2024-04-03-IT020.DT29.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02212300837",,
2024-04-03-IT020.DT30.A-CPO,"Desktop, System Unit, Neutron Fit
SN: DR42300111",,
2024-04-03-IT020.DT30.B-CPO,"Monitor, Gaming Monitor Gamdias
Model: ATLAS VH22F
SN: VH22F02212300928",,
0000-04-03-IT0025.L1-CPO,"Laptop, 
Brand: ASUS
Model: X550ZE
SN: GAN0CV17C54843E",,
0000-04-03-IT0025.L2-CPO,"Laptop, 
Brand: ASUS
Model: X550ZE
SN: GAN0CV17C231436",,
0000-04-03-IT0025.L3-CPO,"Laptop, 
Brand: ASUS
Model: X550ZE
SN: GAN0CV12S63842B",,
0000-04-03-IT0025.L4-CPO,"Laptop, 
Brand: ASUS
Model: X550ZE
SN: GAN0CV12S62742D",,
0000-04-03-IT0027.L5-CPO,"Laptop, CHUWI
Model: MijaBook
SN: 256G2101010221",,
0000-04-03-IT0025.L6-CPO,"Laptop, Asus
Model: X550ZE
SN: GAN0CV12S321428",,
0000-04-03-IT0025.L7-CPO,"Laptop, Asus
Model: X550ZE
SN: GAN0CV20D176435",,
0000-04-03-IT0027.L8-CPO,"Laptop, CHUWI
Model: MijaBook
SN: 256G2101010198",,
